   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  78  192                         -36292         Pt     0.153     0.153     0.317
  78  194                       -34762.6         Pt     0.143     0.143     0.328
  78  196                       -32646.9         Pt     0.130     0.130     0.356
  78  198                       -29905.7         Pt     0.114     0.114     0.407
  78  200                         -26601         Pt     0.110     0.110     0.470
  80  176                         -11773         Hg     0.110     0.110     0.613
  80  178                         -16316         Hg     0.110     0.110     0.558
  80  180                         -20250         Hg     0.137     0.137     0.434
  80  182                         -23577         Hg     0.147     0.147     0.352
  80  184                         -26349         Hg     0.160     0.160     0.367
  80  186                         -28539         Hg     0.132     0.132     0.405
  80  188                         -30211         Hg     0.126     0.126     0.413
  80  190                         -31370         Hg     0.120     0.120     0.416
  80  192                         -32011         Hg     0.120     0.120     0.423
  80  194                       -32183.9         Hg     0.120     0.120     0.428
  80  196                       -31826.8         Hg     0.116     0.116     0.426
  80  198                       -30954.8         Hg     0.107     0.107     0.412
  80  200                       -29503.6         Hg     0.098     0.098     0.368
  80  202                       -27345.5         Hg     0.083     0.083     0.440
  80  204                       -24690.2         Hg     0.052     0.069     0.437
  80  206                         -20945         Hg     0.000     0.050     1.069
  82  182                          -6826         Pb     0.000     0.050     0.888
  82  184                         -11052         Pb     0.000     0.050     0.702
  82  186                         -14682         Pb     0.000     0.048     0.662
  82  188                         -17815         Pb     0.000     0.055     0.724
  82  190                         -20416         Pb     0.000     0.060     0.774
  82  192                         -22565         Pb     0.000     0.060     0.854
  82  194                         -24207         Pb     0.000     0.060     0.965
  82  196                         -25361         Pb     0.000     0.060     1.049
  82  198                         -26050         Pb     0.000     0.060     1.064
  82  200                         -26251         Pb     0.000     0.060     1.027
  82  202                         -25940         Pb     0.000     0.050     0.961
  82  204                       -25109.4         Pb     0.000     0.041     0.899
  82  206                       -23785.1         Pb     0.000     0.032     0.803
  82  208                       -21748.1         Pb     0.000     0.000     4.085
  82  210                       -14728.0         Pb     0.000     0.024     0.800
  82  212                        -7547.2         Pb     0.000     0.022     0.805
  82  214                         -180.8         Pb     0.000     0.030     0.836
  84  192                          -8071         Po     0.180     0.180     0.262
  84  194                         -11005         Po     0.179     0.179     0.319
  84  196                         -13483         Po     0.130     0.130     0.463
  84  198                         -15473         Po     0.060     0.120     0.605
  84  200                         -16954         Po     0.000     0.100     0.666
  84  202                         -17924         Po     0.000     0.027     0.677
  84  204                         -18341         Po     0.000     0.024     0.684
  84  206                         -18188         Po     0.000     0.022     0.701
